"id","courses_id","availability_id","time_start","time_end","spots","pontifex_id","spots_taken","created_at","updated_at"
21993,24,1714,"16:00:00","17:00:00",8,20525,"","","2020-10-05 16:00:08"
22001,24,1751,"16:00:00","17:00:00",10,18963,"","","2020-10-05 16:00:05"
22002,24,1752,"16:00:00","17:00:00",9,18227,"","","2020-10-05 16:00:06"
22003,24,1753,"16:00:00","17:00:00",11,18964,"","","2020-10-05 16:00:07"
22004,24,1754,"16:00:00","17:00:00",10,18228,"","","2020-10-05 16:00:08"
22005,24,1755,"16:00:00","17:00:00",12,18965,"","","2020-10-05 16:00:08"
22037,24,1875,"17:30:00","18:30:00",7,19580,"{""11"":1,""32"":1}","","2020-10-05 16:00:04"
22038,24,1876,"17:30:00","18:30:00",8,20043,"{""2"":1}","","2020-10-05 16:00:04"
22039,24,1877,"19:00:00","20:00:00",15,19602,"","","2020-10-05 16:00:04"
22040,24,1878,"17:30:00","18:30:00",4,20376,"","","2020-10-05 16:00:04"
22043,24,1881,"10:00:00","11:00:00",16,19560,"","","2020-10-05 16:00:04"
22044,24,1882,"17:30:00","18:30:00",5,20598,"{""11"":3}","","2020-10-05 16:00:04"
22045,24,1883,"17:30:00","18:30:00",16,19581,"","","2020-10-05 16:00:04"
22046,24,1884,"17:30:00","18:30:00",10,19997,"","","2020-10-05 16:00:04"
22047,24,1885,"17:30:00","18:30:00",8,19135,"","","2020-10-05 16:00:05"
22048,24,1886,"19:00:00","20:00:00",13,19603,"","","2020-10-05 16:00:05"
22050,24,1888,"19:00:00","20:00:00",15,19604,"","","2020-10-05 16:00:05"
22051,24,1889,"19:00:00","20:00:00",4,18700,"","","2020-10-05 16:00:05"
22052,24,1890,"10:00:00","11:00:00",17,19561,"","","2020-10-05 16:00:05"
22053,24,1891,"17:30:00","18:30:00",5,19969,"","","2020-10-05 16:00:05"
22054,24,1892,"19:00:00","20:00:00",9,19038,"","","2020-10-05 16:00:06"
22055,24,1893,"17:30:00","18:30:00",15,19582,"","","2020-10-05 16:00:06"
22056,24,1894,"19:00:00","20:00:00",18,19605,"","","2020-10-05 16:00:06"
22057,24,1895,"17:30:00","18:30:00",19,20008,"","","2020-10-05 16:00:06"
22058,24,1896,"17:30:00","18:30:00",11,19136,"","","2020-10-05 16:00:06"
22059,24,1897,"19:00:00","20:00:00",11,19039,"","","2020-10-05 16:00:06"
22060,24,1898,"17:30:00","18:30:00",18,19583,"","","2020-10-05 16:00:07"
22061,24,1899,"17:30:00","18:30:00",18,19998,"{""11"":1}","","2020-10-05 16:00:07"
22062,24,1900,"17:30:00","18:30:00",8,20044,"","","2020-10-05 16:00:07"
22063,24,1901,"19:00:00","20:00:00",18,19606,"","","2020-10-05 16:00:07"
22065,24,1903,"19:00:00","20:00:00",12,19041,"","","2020-10-05 16:00:07"
22066,24,1904,"17:30:00","18:30:00",16,19584,"","","2020-10-05 16:00:07"
22067,24,1905,"10:00:00","11:00:00",18,19562,"","","2020-10-05 16:00:08"
22068,24,1906,"19:00:00","20:00:00",17,19607,"","","2020-10-05 16:00:08"
22069,24,1907,"17:30:00","18:30:00",15,20599,"","","2020-10-05 16:00:08"
22070,24,1908,"17:30:00","18:30:00",12,20377,"","","2020-10-05 16:00:08"
22071,24,1909,"19:00:00","20:00:00",12,19042,"","","2020-10-05 16:00:08"
